filename, language, TypeScript, comment, blank, total
common/bbox.ts, TypeScript, 123, 45, 24, 192
common/common.ts, TypeScript, 68, 20, 8, 96
common/constants.ts, TypeScript, 40, 13, 10, 63
common/lru.ts, TypeScript, 35, 13, 9, 57
common/serialize.ts, TypeScript, 123, 10, 14, 147
common/types.ts, TypeScript, 39, 1, 10, 50
converter/baseConverter.ts, TypeScript, 6, 0, 2, 8
converter/converterNode.ts, TypeScript, 66, 1, 11, 78
converter/converterPoint.ts, TypeScript, 3, 0, 2, 5
converter/converterTree.ts, TypeScript, 35, 4, 9, 48
converter/pcdConverter.ts, TypeScript, 64, 5, 5, 74
export/exportToPCD.ts, TypeScript, 85, 0, 7, 92
index.ts, TypeScript, 54, 4, 9, 67
main.ts, TypeScript, 25, 18, 10, 53
preload.ts, TypeScript, 9, 0, 2, 11
render/renderNode.ts, TypeScript, 157, 10, 24, 191
render/renderPoint.ts, TypeScript, 7, 4, 9, 20
render/renderTree.ts, TypeScript, 23, 0, 6, 29
render/renderer.ts, TypeScript, 122, 90, 25, 237
render/scene.ts, TypeScript, 59, 27, 19, 105
select/baseSelector.ts, TypeScript, 223, 18, 28, 269
select/boxSelector.ts, TypeScript, 157, 1, 16, 174
select/gizmo/axisGizmo.ts, TypeScript, 78, 9, 9, 96
select/gizmo/baseGizmo.ts, TypeScript, 140, 13, 28, 181
select/gizmo/positionGizmo.ts, TypeScript, 57, 4, 6, 67
select/gizmo/resizeGizmo.ts, TypeScript, 38, 1, 6, 45
select/gizmo/rotationGizmo.ts, TypeScript, 0, 0, 1, 1
select/selectNode.ts, TypeScript, 169, 10, 31, 210
select/selectTree.ts, TypeScript, 46, 4, 11, 61
select/shapeSelector.ts, TypeScript, 33, 2, 10, 45
select/sphereSelector.ts, TypeScript, 157, 16, 22, 195
tree/mnoNode.ts, TypeScript, 230, 10, 37, 277
tree/mnoPoint.ts, TypeScript, 20, 0, 7, 27
tree/mnoTree.ts, TypeScript, 19, 1, 7, 27
tree/octreeNode.ts, TypeScript, 44, 0, 12, 56
tree/octreeTree.ts, TypeScript, 38, 1, 9, 48
ui/operationController.ts, TypeScript, 54, 0, 10, 64
ui/renderController.ts, TypeScript, 16, 0, 4, 20
ui/selectorController.ts, TypeScript, 51, 0, 10, 61
ui/toastController.ts, TypeScript, 36, 0, 6, 42
Total, -, 2749, 355, 485, 3589
